repository_name,state,triage_state,created_at,expiration_date,severity,remediation_window,rule_name
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.unknown-value-with-script-tag.unknown-value-with-script-tag
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.unknown-value-with-script-tag.unknown-value-with-script-tag
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.sandbox.security.audit.sandbox-code-injection.sandbox-code-injection
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.sandbox.security.audit.sandbox-code-injection.sandbox-code-injection
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.sandbox.security.audit.sandbox-code-injection.sandbox-code-injection
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.sequelize.node-sequelize-hardcoded-secret-argument.node-sequelize-hardcoded-secret-argument
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,typescript.angular.angular-route-bypass-security-trust.angular-route-bypass-security-trust
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,yaml.docker-compose.security.no-new-privileges.no-new-privileges
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,yaml.docker-compose.security.writable-filesystem-service.writable-filesystem-service
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,low,60,javascript.audit.detect-replaceall-sanitization.detect-replaceall-sanitization
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,low,60,javascript.audit.detect-replaceall-sanitization.detect-replaceall-sanitization
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,low,60,javascript.express.security.audit.express-check-csurf-middleware-usage.express-check-csurf-middleware-usage
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,low,60,javascript.express.security.audit.express-check-csurf-middleware-usage.express-check-csurf-middleware-usage
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,java.spring.tainted-html-string-responsebody.tainted-html-string-responsebody
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string-deepsemgrep.formatted-sql-string-deepsemgrep
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string.formatted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.spring.security.injection.tainted-sql-string.tainted-sql-string
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-07-12,medium,60,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string-deepsemgrep.formatted-sql-string-deepsemgrep
Kufta/testThree,unresolved,untriaged,2024-05-13,2024-06-12,high,30,java.lang.security.audit.formatted-sql-string.formatted-sql-string
